,Brands,Ton,Star,Type,Color,Condenser_Coil,Noise(dB),Power_Consumption,Refrigerant,Wi_Fi Enabled,Warranty,Ratings_Count,Reviews_Count,Avg_star,Offer_Price,Actual_Price
694,Daikin, 1.8 Ton, 5 Star,split inverter ,White,Copper,Noise level: 49 dB,Power Consumption: 1665 W,,Wi-Fi Enabled: No,1 Year on Product and 5 Years on Compressor,5,1,3.4,"₹68,866","₹83,000"
696,Hitachi, 1 Ton, 3 Star,window ,White,,Noise level: 50 dB,Power Consumption: 1340 W,Refrigerant: R-22,Wi-Fi Enabled: No,1 Year on Product and 5 Years Warranty on Compressor,"3,611",409,4.2,"₹23,999","₹25,190"
697,Voltas, 1.5 Ton, 4 Star,split inverter ,White,Copper,Noise level: 46 dB,Power Consumption: 1520 W,Refrigerant: R32,Wi-Fi Enabled: No,1 Year Manufacturer Warranty,"3,710",494,4.2,"₹35,990","₹58,990"
698,SAMSUNG, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 45 dB,Power Consumption: 1044.19 W,,Wi-Fi Enabled: No,"1 Year Warranty on Product, 5 Years on Condenser and 10 Years on Compressor",49,6,4.1,"₹43,598","₹53,990"
700,Hitachi, 1.5 Ton, 5 Star,split inverter ,White,Copper,Noise level: 60 dB,Power Consumption: 1550 W,,Wi-Fi Enabled: No,1 Year on Product and 10 Years on Compressor from Hitachi,nan,,,"₹40,999","₹55,190"
701,Croma, 1.5 Ton, 5 Star,split inverter ,White,Copper,Noise level: 49 dB,Power Consumption: 1365 W,Refrigerant: R - 32,Wi-Fi Enabled: No,1 Year on Product and 10 Years on Compressor,nan,,,"₹41,490","₹55,000"
702,Voltas, 1.5 tons, 3 Star,split inverter ,White,,,,,Wi-Fi Enabled: No,,8,1,3.5,"₹38,490","₹54,990"
704,Hitachi, 2 Ton, 3 Star,split inverter ,White,Copper,Noise level: 37 dB,Power Consumption: 1282.37 kWh,,Wi-Fi Enabled: No,1 Year on Product and 10 Years on Compressor,nan,,,"₹50,599","₹63,200"
705,Croma, 2 Ton, 3 Star,split inverter ,White,Copper,Noise level: 40 dB,Power Consumption: 1970 W,Refrigerant: R - 32,Wi-Fi Enabled: No,1 Year Comprehensive Warranty and 10 Years on Compressor,nan,,,"₹46,490","₹60,000"
706,LG, 1 Ton, 3 Star,split inverter ,White,Copper,Noise level: 21 dB,Power Consumption: 3650 W,Refrigerant: R - 32,Wi-Fi Enabled: No,1 Year on Product,nan,,,"₹52,990",
708,LIVPURE, 1.5 Ton, 3 Star,split inverter smart,White,Copper,Noise level: 48 dB,Power Consumption: 1600 W,Refrigerant: R32,Wi-Fi Enabled: Yes,"1 Year on Product, 1 Year on Condenser and 10 Years on Compressor","2,581",577,4.2,"₹35,990","₹44,990"
709,SAMSUNG, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 53 dB,Power Consumption: 1700 W,Refrigerant: R - 32,Wi-Fi Enabled: No,1 Year on Product and 10 Years on Compressor From Samsung,nan,,,"₹35,299","₹42,500"
710,Daikin, 1 Ton, 5 Star,split inverter ,White,Copper,Noise level: 31 dB,Power Consumption: 822 W,Refrigerant: R32,Wi-Fi Enabled: No,1 Year on Product and 5 Years on Compressor from Daikin,479,76,4.2,"₹43,989","₹52,700"
712,LG, 1.5 Ton, 5 Star,split dual inverter ,"White, Purple",Copper,Noise level: 31 dB,Power Consumption: 818.81 kWh,Refrigerant: R32A,Wi-Fi Enabled: No,"1 Year Warranty on Product, 5 Years on PCB and 10 Years on Compressor with Gas Charging",nan,,,"₹45,990","₹76,990"
713,Blue Star, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 40 dB,Power Consumption: 1127.1 kWh,,Wi-Fi Enabled: No,1 Year Warranty on Product and 10 Years on Compressor from Blue Star,nan,,,"₹38,999","₹49,500"
