,Brands,Ton,Star,Type,Color,Condenser_Coil,Noise(dB),Power_Consumption,Refrigerant,Wi_Fi Enabled,Warranty,Ratings_Count,Reviews_Count,Avg_star,Offer_Price,Actual_Price
444,CARRIER, 1.5 Ton, 5 Star,window ,White,Copper,Noise level: 58 dB,Power Consumption: 1550 W,Refrigerant: R32,Wi-Fi Enabled: No,1 Year Warranty on Product and 5 Years on Compressor from Carrier,543,48,4.3,"₹30,999","₹40,990"
445,Blue Star, 1.5 Ton, 5 Star,split inverter ,White,Copper,Noise level: 45 dB,Power Consumption: 1400 W,,Wi-Fi Enabled: No,"1 Year on Product, 1 Year on Condenser and 10 Years on Compressor",12,1,4.3,"₹48,500","₹69,000"
446,Whirlpool, 1 Ton, 4 Star,split ,White,Aluminium,,Power Consumption: 830 WW,,Wi-Fi Enabled: No,"1 Year on Unit, 5 Years on Condensor & 10 Years on Compressor",59,11,4.5,"₹33,500","₹45,000"
448,LG, 1.5 Ton, 5 Star,split dual inverter ,White,Copper,Noise level: 31 dB,Power Consumption: 1465 W,Refrigerant: R32,Wi-Fi Enabled: No,"1 Year Warranty on Product, 5 Years on PCB and 10 Years on Compressor",nan,,,"₹40,590","₹65,990"
449,Blue Star, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 34 dB,Power Consumption: 1456 W,,Wi-Fi Enabled: No,1 Year Comprehensive Warranty on AC and 10 Years on Compressor,nan,,,"₹37,790","₹61,750"
450,CARRIER, 1 Ton, 3 Star,window ,White,Copper,Noise level: 47 dB,Power Consumption: 1120 W,Refrigerant: R22,Wi-Fi Enabled: No,1 Year Warranty on Product and 5 Years on Compressor from Carrier,543,48,4.3,"₹24,500","₹30,990"
452,TOSHIBA, 1 Ton, 3 Star,split ,White,Copper,Noise level: 37 dB,Power Consumption: 1200 W,Refrigerant: R32,Wi-Fi Enabled: No,1 Year on Product and 5 Years on Compressor from Date of Purchase,4,0,4,"₹30,500","₹38,800"
453,Panasonic, 1 Ton, 5 Star,split inverter ,White,Copper,Noise level: 45 dB,Power Consumption: 880 W,Refrigerant: R32A,Wi-Fi Enabled: No,1 Year Comprehensive and 10 Years on Compressor Warranty from Panasonic,45,4,4.4,"₹48,990","₹49,500"
454,SAMSUNG, 1.5 Ton, 4 Star,split inverter ,"White, Purple",Copper,Noise level: 45 dB,Power Consumption: 1490 W,Refrigerant: R32,Wi-Fi Enabled: No,1 Year Warranty on Product and 10 Years on Compressor,nan,,,"₹36,490","₹57,990"
456,SAMSUNG, 2 Ton, 4 Star,split inverter ,White,Copper,Noise level: 45 dB,Power Consumption: 1158.53 W,,Wi-Fi Enabled: No,"5 Year Comprehensive Warranty on Product, 5 Year on PCB, 5 Year on Condenser, 5 Year on Gas Recharge and 5 Years on Compressor from Samsung",31,3,4,"₹71,990",
457,Croma, 1.6 Ton, 3 Star,split inverter ,White,Copper,Noise level: 49 dB,Power Consumption: 1680 W,Refrigerant: R - 32,Wi-Fi Enabled: No,1 Year on Product and 10 Years on Compressor,nan,,,"₹36,790","₹45,000"
458,Haier, 1.5 Ton, 4 Star,split inverter ,White,Copper,Noise level: 41 dB,Power Consumption: 997.07 kWh,,Wi-Fi Enabled: No,1 Year Warranty on Product and 12 Years on Compressor from Haier,nan,,,"₹37,999","₹61,500"
460,Daikin, 1.8 Ton, 2 Star,split ,White,Copper,Noise level: 45 dB,Power Consumption: 1855 W,Refrigerant: R-32A,Wi-Fi Enabled: No,1 Year Warranty on Product and 5 Years on Compressor,nan,,,"₹45,590","₹61,600"
461,MarQ By Flipkart, 0.8 Ton, 3 Star,split inverter ,White,Copper,Noise level: 29 dB,Power Consumption: 685 W,,Wi-Fi Enabled: No,1 Year on Product and 5 Years on Compressor From MarQ by Flipkart,"13,756","1,947",4.3,"₹20,490","₹26,039"
462,Daikin, 1 Ton, 3 Star,split inverter ,White,Copper,Noise level: 26 dB,Power Consumption: 1200 W,Refrigerant: R-32A,Wi-Fi Enabled: No,"1 Year Warranty on Product, 5 Years on PCB and 10 Years on Compressor",11,0,4.1,"₹36,999","₹48,200"
464,Daikin, 1.8 Ton, 4 Star,split inverter ,White,Copper,Noise level: 32 dB,Power Consumption: 1950 W,Refrigerant: R-32A,Wi-Fi Enabled: No,"1 Year Warranty on Product, 5 Years on PCB (Printed Circuit Board) and 10 Years on Compressor",nan,,,"₹50,990","₹72,990"
465,Panasonic, 1.5 Ton, 3 Star,split ,White,Copper,Noise level: 42 dB,Power Consumption: 1650 W,,Wi-Fi Enabled: No,1 Year Comprehensive Warranty on AC and 5 Years on Compressor,nan,,,"₹37,480","₹47,150"
466,Hitachi, 2 Ton, 3 Star,split inverter ,White,Copper,Noise level: 59 dB,Power Consumption: 2420 W,,Wi-Fi Enabled: No,1 Year on Product and 10 Years on Compressor from Hitachi,nan,,,"₹51,399","₹68,500"
468,Daikin, 1.5 Ton, 3 Star,split ,White,Copper,Noise level: 44 dB,Power Consumption: 1650 W,,Wi-Fi Enabled: No,1 Year on Product and 5 Years on Compressor from Daikin,49,4,4,"₹36,999","₹43,000"
469,Blue Star, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 58 dB,Power Consumption: 1663 W,Refrigerant: R32A,Wi-Fi Enabled: No,1 Year on Product and 10 Years on Compressor from Blue Star,nan,,,"₹39,804","₹58,000"
470,Lloyd, 1.5 Ton, 3 Star,window ,White,Copper,Noise level: 53 dB,Power Consumption: 1700 W,Refrigerant: R32,Wi-Fi Enabled: No,"1 year on Product, 5 years on Condenser, 5 years on Compressor",225,20,4.3,"₹29,990","₹37,990"
472,Panasonic, 1 Ton, 5 Star,split inverter ,White,Copper,Noise level: 38 dB,Power Consumption: 915 W,,Wi-Fi Enabled: Yes,1 Year Comprehensive Warranty on AC and 10 Years on Compressor,nan,,,"₹42,856","₹58,400"
473,Blue Star, 1.2 Ton, 3 Star,split inverter ,White,Copper,Noise level: 58 dB,Power Consumption: 1466 W,Refrigerant: R32A,Wi-Fi Enabled: No,1 Year on Product and 10 Years on Compressor from Blue Star,nan,,,"₹36,804","₹56,000"
474,MarQ By Flipkart, 1.5 Ton, 3 Star,split ,White,Copper,Noise level: 37 db,Power Consumption: 1412 W,Refrigerant: R-32,Wi-Fi Enabled: No,1 Year on Product and 5 Years on Compressor,"9,849","1,342",4.2,"₹27,490","₹44,999"
476,Daikin, 1.5 Ton, 3 Star,split ,White,Copper,Noise level: 32 dB,Power Consumption: 1278 W,,Wi-Fi Enabled: No,1 Year Comprehensive Warranty on AC and 5 Years on Compressor,nan,,,"₹40,449","₹55,600"
477,Croma, 1.5 Ton, 5 Star,window inverter ,Pale White,Copper,Noise level: 52 dB,Power Consumption: 1630 W,Refrigerant: R-32A,Wi-Fi Enabled: No,1 Year Comprehensive Warranty on Product and 10 Years on Compressor,nan,,,"₹36,290","₹45,000"
478,Croma, 1.5 Ton, 5 Star,window ,White,Copper,Noise level: 53 dB,Power Consumption: 1252.58 W,Refrigerant: R32,Wi-Fi Enabled: No,1 Year on Machine 5 Years on Compressor From Croma,13,1,4.2,"₹29,990","₹36,000"
480,Godrej, 1.5 Ton, 5 Star,split inverter ,White,Copper,Noise level: 40 dB,Power Consumption: 1380 W,Refrigerant: R32,Wi-Fi Enabled: No,1 Year Comprehensive Warranty on Product and 10 Years on Compressor,7,0,4.3,"₹39,399","₹69,900"
481,Whirlpool 4 in 1 Convertible Cooling, 1 Ton, 5 Star,split inverter ,White,Copper,Noise level: 45 dB,Power Consumption: 519.64 W,Refrigerant: R32,Wi-Fi Enabled: No,"1 Year Warranty on Product, 1 Year on Condenser and 10 Years on Compressor","1,554",169,4.1,"₹33,090","₹59,500"
482,Blue Star, 1.5 Ton, 5 Star,split inverter ,White,Copper,Noise level: 58 dB,Power Consumption: 3620 W,Refrigerant: R-32A,Wi-Fi Enabled: No,1 Year on Product and 10 Years on Compressor From Blue Star,918,114,4.4,"₹43,999","₹69,000"
484,SAMSUNG, 1 Ton, 3 Star,split inverter ,White,Alloy,Noise level: 48 dB,Power Consumption: 1180 W,,Wi-Fi Enabled: No,"1 Year on Product, 10 Years Compressor and 5 Years Condensor Warranty",30,7,4.8,"₹41,000","₹48,200"
485,Daikin, 1.5 Ton, 5 Star,split inverter ,White,Copper,Noise level: 35 dB,Power Consumption: 1415 W,Refrigerant: R32,Wi-Fi Enabled: Yes,1 Year on Product and 5 Years on Compressor from Daikin,42,3,4.2,"₹45,500","₹66,200"
486,Blue Star, 1.2 Ton, 3 Star,split ,White,Copper,Noise level: 36 dB,Power Consumption: 1131 W,Refrigerant: R-32,Wi-Fi Enabled: No,1 year on Product and 5 Years on Compressor from Blue Star,3,0,4.7,"₹34,000","₹41,000"
488,Croma, 1.5 Ton, 5 Star,window ,Pale White,Copper,Noise level: 52 dB,Power Consumption: 1510 W,Refrigerant: R-32A,Wi-Fi Enabled: No,1 Year Comprehensive Warranty on Product and 5 Years on Compressor,nan,,,"₹33,290","₹40,000"
489,LG, 1.5 Ton, 3 Star,split inverter ,Nova Red,Copper,Noise level: 31 dB,Power Consumption: 1052.49 W,Refrigerant: R-410A,Wi-Fi Enabled: No,1 Year Comprehensive and 9 Years on Compressor,221,48,4.4,"₹36,990","₹50,490"
490,Voltas, 2 Ton, 5 Star,split inverter ,White,Copper,Noise level: 45 dB,Power Consumption: 2000 W,Refrigerant: R32A,Wi-Fi Enabled: No,1 Year on Product and Condenser and 5 Years on Compressor from Voltas,24,0,4.1,"₹55,999","₹82,900"
492,Whirlpool, 1.5 Ton,,split dual inverter ,White,,,,,Wi-Fi Enabled: No,,nan,,,"₹36,489","₹50,000"
493,MarQ By Flipkart, 1.5 Ton, 5 Star,split dual inverter smart,White,Copper,Noise level: 38 dB,Power Consumption: 1118 W,Refrigerant: R32,Wi-Fi Enabled: Yes,1 Year Warranty on Product and 5 Years on Compressor,322,38,4.4,"₹35,500","₹56,999"
494,Blue Star, 1.5 Ton, 5 Star,split inverter ,White,Copper,Noise level: 34 dB,Power Consumption: 1456 W,,Wi-Fi Enabled: No,1 Year Comprehensive Warranty on AC and 10 Years on Compressor,nan,,,"₹46,828","₹70,000"
496,Haier, 1.5 Ton, 3 Star,split inverter ,"White, Orange",Copper,Noise level: 40 dB,Power Consumption: 1780 W,,Wi-Fi Enabled: No,"1 Year on Product, 1 Year on Condenser and 10 Years on Compressor",12,1,4.6,"₹36,990","₹59,500"
497,Hitachi, 1.5 Ton, 3 Star,split inverter ,Gold,Copper,Noise level: 36 dB,Power Consumption: 1730 W,Refrigerant: R410A,Wi-Fi Enabled: No,"1 years Comprehensive warranty, 5 years on Controller/PCB, 10 years on Compressor, 1 year Free Gas Recharge","1,672",175,4,"₹34,999","₹52,700"
498,Lloyd, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 42 dB,Power Consumption: 1720 W,Refrigerant: R32,Wi-Fi Enabled: No,"1 year on Product, 5 years on Condenser, 10 years on Compressor",333,34,4.2,"₹36,890","₹45,000"
500,Whirlpool, 1.5 Ton, 3 Star,split inverter smart,White,Copper,Noise level: 37 dB,Power Consumption: 1890 W,Refrigerant: R32A,Wi-Fi Enabled: Yes,1 Year on Product and Condenser and 10 Years on Compressor,10,2,4.4,"₹33,990","₹53,400"
501,Panasonic, 1.5 Ton, 5 Star,split inverter ,White,Copper,Noise level: 38 dB,Power Consumption: 1660 W,,Wi-Fi Enabled: Yes,1 Year Comprehensive Warranty on AC and 10 Years on Compressor,nan,,,"₹43,844","₹59,400"
502,O General, 1.8 Ton, 3 Star,split ,White,Copper,,,Refrigerant: R410A,Wi-Fi Enabled: No,1 Year Manufacturer Warranty,28,5,4.3,"₹63,499","₹69,049"
504,CARRIER, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 37 dB,Power Consumption: 1750 W,Refrigerant: R32,Wi-Fi Enabled: No,1 Year Warranty on Product and 10 Years on Compressor from Carrier,100,8,4.3,"₹40,990","₹59,990"
505,Blue Star, 1.5 Ton, 3 Star,split inverter ,White,,,,,Wi-Fi Enabled: No,,3,0,5,"₹37,500","₹58,250"
506,Lloyd, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 49 dB,Power Consumption: 1800 W,Refrigerant: R410A,Wi-Fi Enabled: No,"1 year on Product, 5 years on Condenser, 10 years on Compressor",250,38,4.2,"₹39,000","₹63,990"
508,SAMSUNG, 1 Ton, 3 Star,split inverter ,White,Alloy,Noise level: 48 dB,Power Consumption: 1060 W,,Wi-Fi Enabled: No,"1 Year on Product, 10 Years Compressor and 5 Years Condensor Warranty",325,55,4.4,"₹34,500","₹40,300"
509,Lloyd, 2 Ton, 3 Star,split ,White,,,,,Wi-Fi Enabled: No,,5,0,5,"₹45,999","₹68,990"
510,LG, 1 Ton, 5 Star,split dual inverter ,White,Copper,Noise level: 21 dB,Power Consumption: 571.99 kWh,Refrigerant: R32,Wi-Fi Enabled: No,"1 Year on Product, 1 Year on Condenser and 10 Years on Compressor from LG",nan,,,"₹37,500","₹61,990"
512,Lloyd, 1.5 Ton, 3 Star,split ,White,Copper,Noise level: 38 dB,Power Consumption: 1700 W,,Wi-Fi Enabled: No,1 Year Warranty and 1 Year Compressor Warranty on Lloyd,22,4,3.9,"₹35,500","₹43,990"
513,Lloyd, 1.5 Ton, 3 Star,split ,White,Copper,Noise level: 57 dB,Power Consumption: 1114.71 W,,Wi-Fi Enabled: No,1 Year Warranty on Product and 5 Years on Compressor from LLOYD,32,0,4.5,"₹35,399","₹58,990"
514,LG, 1 Ton, 3 Star,split dual inverter ,White,Copper,Noise level: 21 dB,Power Consumption: 680.58 kWh,Refrigerant: R32,Wi-Fi Enabled: No,"1 Year on Product, 1 Year on Condenser and 10 Years on Compressor from LG",22,6,4.5,"₹35,999","₹54,990"
516,Whirlpool, 1 Ton, 3 Star,split inverter ,White,Copper,Noise level: 30 dB,Power Consumption: 1500 W,,Wi-Fi Enabled: No,"1 Year on Comprehensive Unit , 10 years on compressor & 1 year on condensor",23,4,4.3,"₹47,889","₹48,000"
517,LG, 1.5 Ton, 3 Star,split dual inverter ,White,Copper,Noise level: 26 dB,Power Consumption: 1740 W,Refrigerant: R32,Wi-Fi Enabled: No,"10 Years on Compressor with free gas recharge*, 5 Years on PCB*",23,5,4.9,"₹44,000","₹54,990"
518,SAMSUNG, 1.5 Ton, 4 Star,split inverter ,White,Copper,Noise level: 45 dB,Power Consumption: 1490 W,Refrigerant: R32,Wi-Fi Enabled: No,1 Year Standard Warranty on Product and 10 Years on Compressor,nan,,,"₹39,990","₹63,990"
520,LG, 1.5 Ton, 5 Star,split dual inverter ,White,Copper,Noise level: 31 dB,Power Consumption: 835.5 W,Refrigerant: R32A,Wi-Fi Enabled: No,1 Year Warranty on Product and 10 Years on Compressor From LG,132,9,4.4,"₹45,999","₹63,990"
521,Croma, 1.2 Ton, 3 Star,split inverter ,White,Copper,Noise level: 44 dB,Power Consumption: 1500 W,Refrigerant: R - 32,Wi-Fi Enabled: No,1 Year on Product and 10 Years on Compressor,nan,,,"₹33,490","₹40,000"
522,Panasonic, 2.2 Ton, 4 Star,split inverter ,White,Copper,Noise level: 50 dB,Power Consumption: 1430.38 W,,Wi-Fi Enabled: No,"1 Year on Product, 5 Year on PCB and 5 Years on Compressor from Panasonic",3,1,2.3,"₹56,836","₹76,750"
524,LG, 1.5 Ton, 3 Star,split dual inverter ,Floral White,Copper,Noise level: 26 dB,Power Consumption: 1740 W,Refrigerant: R32,Wi-Fi Enabled: No,"10 Years on Compressor with free gas recharge*, 5 Years on PCB*",247,43,4.3,"₹43,500","₹55,990"
525,Daikin, 1 Ton, 4 Star,split inverter ,White,Copper,Noise level: 27 dB,Power Consumption: 1145 W,Refrigerant: R-32A,Wi-Fi Enabled: No,"1 Year Warranty on Product, 5 Years on PCB (Printed Circuit Board) and 10 Years on Compressor",nan,,,"₹37,590","₹50,700"
526,Daikin, 1.8 Ton, 3 Star,split inverter ,White,,,,,Wi-Fi Enabled: No,,nan,,,"₹50,887","₹60,400"
528,Voltas, 1.5 Ton, 4 Star,split inverter ,"White, Brown",Copper,Noise level: 33 dB,Power Consumption: 1540 W,Refrigerant: R32A,Wi-Fi Enabled: No,1 Year Warranty on Product and 10 Years On Compressor,259,24,4.4,"₹38,499","₹60,000"
529,Hitachi, 1 Ton, 3 Star,split inverter ,White,Copper,Noise level: 94 dB,Power Consumption: 1475 W,,Wi-Fi Enabled: No,1 Year on Product and 10 Years on Compressor from Hitachi,nan,,,"₹30,399","₹42,290"
530,Whirlpool, 1 Ton, 5 Star,split inverter ,White,Copper,Noise level: 40 dB,Power Consumption: 920 W,Refrigerant: R32A,Wi-Fi Enabled: No,"1 Year on Product, 1 Year on Condenser and 10 Years on Compressor","27,658","3,503",4.2,"₹31,990","₹51,750"
532,LG, 1.5 Ton, 3 Star,split dual inverter ,White,Copper,Noise level: 31 dB,Power Consumption: 1780 W,,Wi-Fi Enabled: No,"10 Years on Compressor with free gas recharge*, 5 Years on PCB*",265,41,4.3,"₹42,999","₹52,999"
533,Blue Star, 2 Ton, 5 Star,split inverter ,White,Copper,Noise level: 49 dB,Power Consumption: 1770 W,,Wi-Fi Enabled: No,"1 Year on Product, 1 Year on Condenser and 10 Years on Compressor",12,3,4.1,"₹57,999","₹76,000"
534,Croma, 1.5 Ton, 3 Star,window ,White,Copper,Noise level: 54 dB,Power Consumption: 1252.58 W,Refrigerant: R32,Wi-Fi Enabled: No,1 Year on Machine 5 Years on Compressor From Croma,43,4,4.4,"₹27,490","₹32,000"
536,Daikin, 1 Ton, 4 Star,split inverter ,White,Copper,Noise level: 26 dB,Power Consumption: 1110 W,Refrigerant: R32,Wi-Fi Enabled: No,1 Year on Product and 5 Years on Compressor from Daikin,"2,367",222,4.2,"₹38,000","₹44,500"
537,Blue Star, 1.5 Ton, 3 Star,split ,White,Copper,Noise level: 62.5 dB,Power Consumption: 1124.78 W,Refrigerant: R32A,Wi-Fi Enabled: No,1 Year Warranty on Product and 5 Years on Compressor,"1,452",136,4.3,"₹37,989","₹50,000"
538,Daikin, 1 Ton, 5 Star,split inverter ,White,Copper,Noise level: 27 dB,Power Consumption: 940 W,,Wi-Fi Enabled: No,1 Year Comprehensive Warranty on AC and 10 Years on Compressor,nan,,,"₹45,774","₹60,990"
540,Daikin, 1.5 Ton, 5 Star,split inverter ,White,Copper,Noise level: 47 dB,Power Consumption: 1315 W,,Wi-Fi Enabled: No,1 Year on Product and 5 Years on Compressor,49,6,4.3,"₹50,299","₹63,000"
541,Panasonic, 1.5 Ton, 5 Star,split ,White,Copper,Noise level: 48 dB,Power Consumption: 848.28 W,,Wi-Fi Enabled: Yes,"1 Year on Product, 5 Year on PCB and 5 Years on Compressor from Panasonic",nan,,,"₹44,859","₹63,000"
542,Panasonic, 1 Ton, 4 Star,split inverter ,White,Copper,Noise level: 38 dB,Power Consumption: 1060 W,,Wi-Fi Enabled: Yes,1 Year Comprehensive Warranty on AC and 10 Years on Compressor,nan,,,"₹35,836","₹45,700"
544,Croma, 1 Ton, 3 Star,window ,White,Copper,Noise level: 48 dB,Power Consumption: 864 W,Refrigerant: R22,Wi-Fi Enabled: No,1 Year on Machine 5 Years on Compressor From Croma,24,5,4,"₹22,990","₹28,000"
545,Lloyd, 1.5 Ton, 3 Star,window ,White,Copper,Noise level: 56.38 dB,Power Consumption: 2170 W,,Wi-Fi Enabled: No,1 Year Comprehensive Warranty on AC and 5 Years on Compressor From Lloyd,nan,,,"₹29,899","₹37,990"
546,Panasonic, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 38 dB,Power Consumption: 1660 W,,Wi-Fi Enabled: Yes,1 Year Comprehensive Warranty on AC and 10 Years on Compressor,nan,,,"₹39,750","₹57,900"
548,CARRIER, 1.5 Ton,,window ,White,,,,,Wi-Fi Enabled: No,,2,1,4,"₹33,950","₹40,990"
549,CARRIER, 1.5 Ton, 3 Star,window ,White,Copper,Noise level: 56 dB,Power Consumption: 1700 W,Refrigerant: R32,Wi-Fi Enabled: No,1 Year on Complete Unit and 5 Years on Compressor,"1,376",177,4.3,"₹25,999","₹32,990"
550,Voltas, 1 Ton, 3 Star,split inverter ,White,Copper,Noise level: 39.5 dB,Power Consumption: 1130 W,Refrigerant: R32A,Wi-Fi Enabled: No,"1 Year on Product, 1 Year on Condenser and 5 Years on Compressor From Voltas",77,8,4.1,"₹29,898","₹48,000"
552,Voltas, 1.5 Ton, 4 Star,split inverter ,White,Copper,Noise level: 46 dB,Power Consumption: 1610 W,Refrigerant: R32A,Wi-Fi Enabled: Yes,1 Year Warranty on Product and 10 Years on Compressor,nan,,,"₹36,999","₹69,990"
553,LG, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 31 dB,Power Consumption: 1840 W,Refrigerant: R-410A,Wi-Fi Enabled: No,1 Year Comprehensive and 9 Years on Compressor,336,69,4.4,"₹40,490","₹49,990"
554,Blue Star, 1.5 Ton, 3 Star,window ,White,Copper,Noise level: 52 dB,Power Consumption: 1732 W,Refrigerant: R32A,Wi-Fi Enabled: No,1 Year on Product and 5 Years on Compressor From Blue Star,"2,964",380,4.2,"₹30,999","₹36,000"
556,Daikin, 1.8 Ton, 4 Star,split inverter ,White,Copper,Noise level: 38 dB,Power Consumption: 1890 W,Refrigerant: R32,Wi-Fi Enabled: No,1 Year on Product and 5 Years on Compressor from Daikin,"2,367",222,4.2,"₹50,990","₹64,900"
557,Voltas, 1.5 Ton, 3 Star,split ,White,Copper,Noise level: 45 dB,Power Consumption: 972 W,,Wi-Fi Enabled: No,1 Year Warranty on the Product and 4 Years on the Compressor,101,3,4.3,"₹37,599","₹52,690"
558,O General, 1.5 Ton, 3 Star,window ,White,Copper,Noise level: 42 dB,Power Consumption: 1410 W,,Wi-Fi Enabled: No,1 Year Warranty and 1 Year Compressor Warranty on O-General,5,1,3.2,"₹37,799","₹41,990"
560,Whirlpool, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 37 dB,Power Consumption: 1890 W,Refrigerant: R32A,Wi-Fi Enabled: No,"1 Year on Product, 1 Year on Condenser and 10 Years on Compressor",nan,,,"₹40,500","₹45,000"
561,Lloyd, 2 Ton, 3 Star,split ,White,Copper,Noise level: 38 dB,Power Consumption: 1386.43 kWh,Refrigerant: R-32A,Wi-Fi Enabled: No,1 Year Comprehensive Warranty on Product and 5 Years on Compressor,nan,,,"₹46,999","₹68,990"
562,Daikin, 1 Ton, 5 Star,split inverter ,White,Copper,Noise level: 48 dB,Power Consumption: 822 W,,Wi-Fi Enabled: No,1 Year on Product and 5 Years on Compressor,25,4,4.3,"₹43,990","₹55,200"
564,Panasonic, 1.5 Ton, 4 Star,split inverter ,White,Copper,Noise level: 38 dB,Power Consumption: 1660 W,,Wi-Fi Enabled: Yes,1 Year Comprehensive Warranty on AC and 10 Years on Compressor,nan,,,"₹41,750","₹59,400"
565,Blue Star, 1.5 Ton, 3 Star,window ,White,Copper,Noise level: 59 dB,Power Consumption: 1730 W,Refrigerant: R-22A,Wi-Fi Enabled: No,1 year on Product and 5 Years on Compressor from Blue Star,574,74,4.4,"₹28,499","₹35,500"
566,Blue Star, 2 Ton, 3 Star,split inverter ,White,Copper,Noise level: 43 dB,Power Consumption: 2150 W,Refrigerant: R32A,Wi-Fi Enabled: No,1 Year on Product and 10 Years Warranty on Compressor From Blue Star,"1,063",140,4.2,"₹53,990","₹68,000"
568,Sansui, 1.5 Ton, 3 Star,split triple inverter ,White,Copper,Noise level: 44 db,Power Consumption: 1585 W,Refrigerant: R-32,Wi-Fi Enabled: No,1 Year on Product and 5 Years on Compressor,"1,238",194,4.2,"₹29,990","₹46,999"
569,SAMSUNG, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 52 dB,Power Consumption: 1748 W,,Wi-Fi Enabled: No,"1 Year on Product, 1 Year on Condenser and 10 Years on Compressor from Samsung",13,1,4.5,"₹36,999","₹49,990"
570,LG, 1.5 Ton, 4 Star,split dual inverter ,White,Copper,Noise level: 31 dB,Power Consumption: 920.82 kWh,Refrigerant: R32,Wi-Fi Enabled: No,"1 Year on Product, 5 Years on PCB and 10 Years on Compressor with Gas Charging from LG",45,12,4.4,"₹40,881","₹59,990"
572,LumX, 1.5 Ton, 3 Star,split ,White,Copper,Noise level: 43 dB,Power Consumption: 1440 W,Refrigerant: R32,Wi-Fi Enabled: No,"1 Year on Product, 1 Year on Condenser and 5 Years on Compressor from Lumx",31,2,4.4,"₹28,990","₹42,980"
573,LG, 1 Ton, 5 Star,split dual inverter ,White,Copper,Noise level: 21 dB,Power Consumption: 1050.84 W,Refrigerant: R-32,Wi-Fi Enabled: No,"1 Year Warranty on Product, 5 Years on PCB and 10 Years on Compressor with Gas Charging from LG",15,2,4.5,"₹39,599","₹62,990"
574,LG, 1.5 Ton, 5 Star,split dual inverter ,"White, Maroon",Copper,Noise level: 31 dB,Power Consumption: 1440 W,Refrigerant: R32,Wi-Fi Enabled: No,"10 Years on Compressor with free gas recharge*, 5 Years on PCB*",240,37,4.3,"₹46,500","₹56,990"
576,MOTOROLA, 2 Ton, 3 Star,split dual inverter smart,Silver,Copper,Noise level: 38 dB,Power Consumption: 1322 W,Refrigerant: R32A,Wi-Fi Enabled: Yes,1 year on product and 10 years on compressor,"1,165",177,4.3,"₹39,990","₹60,899"
577,Hitachi, 2 Ton, 2 Star,window ,White,Copper,Noise level: 52 dB,Power Consumption: 1733.99 W,Refrigerant: R32A,Wi-Fi Enabled: No,1 Year Warranty on Product and 5 Years on Compressor,"2,088",249,4.2,"₹38,990","₹39,690"
578,Hitachi, 2 Ton, 3 Star,split inverter ,"White, Gold",Copper,Noise level: 37 dB,Power Consumption: 2090 W,,Wi-Fi Enabled: No,"1 Year on Product, 1 Year on Condenser and 5 Years on Compressor From Hitachi",32,1,4.2,"₹47,490","₹59,590"
580,CARRIER, 1.5 Ton, 3 Star,split ,White,,Noise level: 40 dB,Power Consumption: 983 W,Refrigerant: R-22,Wi-Fi Enabled: No,1 Year on Product and 5 Years on Compressor,3,2,3.3,"₹39,490","₹39,600"
581,Blue Star, 1.5 Ton, 5 Star,window ,White,Copper,Noise level: 58 dB,Power Consumption: 1530 W,Refrigerant: R22A,Wi-Fi Enabled: No,1 Year on Product and 5 Years on Compressor from Blue Star,855,104,4.3,"₹32,900","₹40,000"
